Sentence,Temples,Lakes,Beaches,NationalParks,Forts,AdventureSports,Amusement,Nature,Cultural,UrbanDevelopment,Scenic
Visit the ancient temple nestled in the mountains.,1,0,0,0,0,0,0,0.2,0.8,0,0.2
Relax on the pristine beach with stunning ocean views.,0,0,1,0,0,0,0,0.2,0,0,0.8
Explore the diverse wildlife at the national park.,0,0,0,1,0,0,0,0.8,0.2,0,0
Discover the history of the majestic fort overlooking the city.,0,0,0,0,1,0,0,0,0.8,0,0
Experience the thrill of white-water rafting in the scenic valley.,0,0,0,0,0,1,0,0.8,0,0,0.2
Enjoy a thrilling roller coaster ride at the amusement park.,0,0,0,0,0,0,1,0,0,0,0
Hike through the lush forests and admire the cascading waterfall.,0,0,0,0,0,0,0,1,0,0,0.2
Explore the fascinating exhibits at the renowned museum.,0,0,0,0,0,0,0,0,1,0,0
Shop for souvenirs at the bustling market in the city center.,0,0,0,0,0,0,0,0,0,1,0
Admire the breathtaking views from the scenic viewpoint.,0,0,0,0,0,0,0,0.2,0,0,1
Cross the iconic suspension bridge connecting the two cities.,0,0,0,0,0,0,0,0,0,1,0
Visit the serene lake and enjoy a peaceful boat ride.,0,1,0,0,0,0,0,0.2,0,0,0.2
Spend a day at the zoo and observe the diverse animal species.,0,0,0,1,0,0,0,0.8,0,0,0
Discover the ancient rock carvings at the archaeological site.,0,0,0,0,0,0,0,0,1,0,0
Relax on the promenade and enjoy the ocean breeze.,0,0,1,0,0,0,0,0.2,0,0,0.8
Hike to the summit of the mountain peak for panoramic views.,0,0,0,0,0,0,0,1,0,0,0.2
Visit the botanical garden and admire the vibrant flowers.,0,0,0,1,0,0,0,0.8,0,0,0
Explore the underwater world at the aquarium.,0,0,0,0,0,0,0,1,0,0,0
Learn about the history of the region at the local museum.,0,0,0,0,0,0,0,0,1,0,0
Enjoy a picnic at the scenic park with lush green lawns.,0,0,0,1,0,0,0,0.8,0,0,0
Visit the ancient temple complex and experience its spiritual significance.,1,0,0,0,0,0,0,0,0.8,0,0
Relax on the beach and enjoy the warm sunshine.,0,0,1,0,0,0,0,0.2,0,0,0.8
